artist,id
Kris Kristofferson,1225
SBTRKT,1226
Toni Braxton,1227
Dave Barnes,1228
Weezer,1229
Al Jarreau,1230
Lil Bow Wow,1231
The Main Ingredient,1232
Scar The Martyr,1233
Lil Baby,1234
Alkaline Trio,1235
Mason Jennings,1236
Mya,1237
Rob Zombie,1238
Hard Working Americans,1239
Pantera,1240
New York Dolls,1241
98 Degrees,1242
Pennywise,1243
Lone Justice,1244
Cross Canadian Ragweed,1245
Limp Bizkit,1246
KONGOS,1247
Gary Lewis And The Playboys,1248
Dionne Farris,1249
Detective,1250
All That Remains,1251
Traveling Wilburys,1252
OFF!,1253
Warpaint,1254
Jason Michael Carroll,1255
LeAnn Rimes,1256
Mindy McCready,1257
Chris Cornell,1258
Priscilla Ahn,1259
Indigo Girls,1260
Bobby Vinton,1261
Cyndi Lauper,1262
Damn Yankees,1263
George Thorogood,1264
Jake Bugg,1265
Susan Tedeschi,1266
Modest Mouse,1267
Metallica,1268
Grand Puba,1269
YG,1270
Coal Chamber,1271
PJ Harvey,1272
Ed Sheeran,1273
Meredith Brooks,1274
Fatboy Slim,1275
Edwin McCain,1276
Pierce The Veil,1277
Ras Kass,1278
Gloria Estefan,1279
Guided By Voices,1280
Wolfmother,1281
Placebo,1282
Rhett Akins,1283
Carolyn Dawn Johnson,1284
Naughty By Nature,1285
Black Country Communion,1286
Big Country,1287
Paul Kantner,1288
Kittie,1289
El DeBarge,1290
B-Legit,1291
The System,1292
Beartooth,1293
Ashes Divide,1294
Jedi Mind Tricks,1295
Epica,1296
Lady Antebellum,1297
Alacranes Musical,1298
Frightened Rabbit,1299
Red Dragon Cartel,1300
Electronic,1301
Yaz,1302
Soft Cell,1303
Nelly,1304
George Duke,1305
Ke$ha,1306
Chiodos,1307
Gogol Bordello,1308
All Time Low,1309
Phil Vassar,1310
Juliana Hatfield,1311
The Fixx,1312
Tom Petty,1313
Hilary Duff,1314
The Plot In You,1315
Eddie Vedder,1316
3OH!3,1317
Yes,1318
Portishead,1319
Linkin Park,1320
Kenny Lattimore,1321
Sean Price,1322
Atomic Rooster,1323
James Blake,1324
Harry Chapin,1325
Robert Earl Keen,1326
X,1327
The Books,1328
Dance Gavin Dance,1329
Camila,1330
The Click,1331
ABC,1332
Lara Fabian,1333
Jason Isbell,1334
3 Inches Of Blood,1335
Candlebox,1336
Lindsey Stirling,1337
Grinderman,1338
Dio,1339
Timeflies,1340
Astrud Gilberto,1341
Robin Trower,1342
Travis Barker,1343
Curtis Mayfield,1344
Z-Ro,1345
Real Friends,1346
Donald Byrd,1347
Pistol Annies,1348
Helix,1349
Garth Brooks,1350
Prozak,1351
Cream,1352
The Birthday Massacre,1353
Sara Groves,1354
Bri (Briana Babineaux),1355
Black Rebel Motorcycle Club,1356
Yvonne Elliman,1357
Carbon Leaf,1358
Last In Line,1359
Animal Collective,1360
GZA/Genius,1361
Engelbert Humperdinck,1362
Colbie Caillat,1363
Jeff Lorber,1364
The Distillers,1365
Collective Soul,1366
Ian Anderson,1367
Christina Perri,1368
Pet Shop Boys,1369
Taylor Hicks,1370
Miriam Makeba,1371
blessthefall,1372
Gerald Albright,1373
Kodaline,1374
Otep,1375
The Black Angels,1376
Young Love,1377
Velvet Revolver,1378
Tricky,1379
Jon Bellion,1380
JJ Doom,1381
The Black Dahlia Murder,1382
Salt-N-Pepa,1383
Mike Doughty,1384
The Cars,1385
Jeremih,1386
The Shirelles,1387
Bruce Springsteen,1388
Father John Misty,1389
Future Leaders Of The World,1390
Gloria Trevi,1391
Jeff Loomis,1392
Aventura,1393
Flyleaf,1394
Madonna,1395
Lifehouse,1396
Against Me!,1397
Ruben Studdard,1398
Gym Class Heroes,1399
Lucy Pearl,1400
36 Crazyfists,1401
Das EFX,1402
Tech N9ne Collabos,1403
Frankie Valli,1404
Gang Of Four,1405
Ra Ra Riot,1406
3 Doors Down,1407
Esperanza Spalding,1408
Story Of The Year,1409
Julio Iglesias,1410
NewSong,1411
Taproot,1412
Melba Moore,1413
Blindside,1414
George Jones,1415
Saves The Day,1416
Robert Palmer,1417
Hellogoodbye,1418
Anne-Marie,1419
Terrence Howard,1420
Armored Saint,1421
FFH,1422
Rixton,1423
Brian McKnight,1424
Rachel Platten,1425
Woodkid,1426
Kehlani,1427
Debbie Gibson,1428
MisterWives,1429
Crazy Frog,1430
Lori McKenna,1431
Art Garfunkel,1432
Toto,1433
Sharon Van Etten,1434
DJ Shadow,1435
The Motels,1436
Bow Wow,1437
